Nr,Beginregel
755,Laat ons Christus zien/Bewerk ons hart, o God
756,Schuilplaats/Ik wil zijn in de schuilplaats van de Allerhoogste
757,Zo goed/Uw liefde is geweldig!
758,Met heel mijn ziel
759,Uw genade is genoeg/Mijn God, wat is uw trouw toch groot
760,Wie vrees ik nog?/U hoort mij als ik bid
761,De Heer is ons huis/Zijn grootheid torent uit
762,Heilig bent U, God/Zing voor zijn naam
763,Ik heb U nodig/Heer, ik kom en beken
764,Zegekroon/U zult altijd voor ons strijden
765,Uw vrede vult dit huis
766,De wind steekt op/Als de hemel openbreekt
767,Familie/Hoe mooi en hoe heerlijk
768,Zing een nieuw lied(PvN)/Zing, zing, zing een nieuw lied voor de Heer
769,Bouw uw koninkrijk/Kom, vestig uw gezag
770,Ik zal er zijn/Hoe wonderlijk mooi is uw eeuwige naam
771,Eén doel/Wij zijn gekomen voor een ontmoeting met U
772,Overwinnaar/Ik wil zingen voor de Here
773,De enige die redt/Uit liefde gaf God zijn eigen Zoon
774,Ik verlang naar Jezus
775,Bij het kruis/Er is een plek waar liefde heerst
776,Wij, de verlosten van de Heer
777,Ik geef U alle eer/U bent de Koning op de troon
778,Hoe lang, o Heer?
779,Zoals je bent/Kom hier met je tranen
780,Verwachten/Ik zie uit naar de Heer
781,Jezus redt/Hoor de hartslag van de hemel
782,Geloofd zij de Heer/Ik heb U lief, Heer, mijn sterkte
783,Wij houden ons niet langer stil/Jezus, U bent hier bij ons
784,Laat alles in dit huis/Wij zijn gekomen om U te aanbidden, Jezus
785,Fundament/Ik bouw op Jezus, anders niet (Myrin)
786,Met hart en handen/Schepper God, U die alles adem geeft
787,Man van smarten, Lam van God
788,Wees welkom, Geest van God
789,Lopen op het water/U leert me lopen op het water
790,God is mijn Herder, die mij weidt
791,Almachtige/U bent de koning, U draagt de kroon
792,Eeuwig Halleluja/Als ik voor uw troon verschijn
793,Een fonkelnieuw begin/Er breekt een lang beloofde toekomst aan
794,No longer slaves/You unravel me with a melody
795,Amen(Opw.)/Ik geloof in de Zoon
796,De Leeuw en het Lam/De wereld zal het zien
797,Breng ons samen/U roept ons samen als kerk van de Heer
798,Houd vol/Wij zijn het volk van God
799,In eeuwigheid/De middag kleurde zwart
800,Koning met eer gekroond/Glorie aan de hoogste Heer
801,Het leven in mij/Mijn hart gelooft, mijn mond belijdt
802,Hier is mijn hart, Heer
803,Vol ontzag/Ontzagwekkend is uw heiligheid
804,Good good father/I've heard a thousand stories
805,Maak ons hart onrustig, God
806,Soeverein/Er ligt hoop in onze tranen
807,God van licht/In mijn twijfels, mijn verdriet
808,Ik leef in U/In de holte van uw hand
809,Dit is Jezus/Vanaf het begin was het Woord bij God
810,Smaak van redding/Onze God roept ons aan tafel
811,Witter dan sneeuw (Psalm 51)/Was mij witter dan sneeuw
812,What a beautiful name/You were the Word at the beginning
813,Uw liefde wint elke strijd/Heer, U leidt mij door uw hand
814,Glorieus/De hemel verhaalt van zijn majesteit
815,Vul dit huis met Uw glorie
816,Hoogste God/Kom kijken wat de Heer gaat doen
817,Wij hebben U lief/Heer Jezus, hier zijn wij
818,Op die dag/Eenmaal maakt U alles weer nieuw, Jezus
819,Niemand anders/Wie deed de eerste zon opgaan
820,Feest van genade/Alzo lief had God de wereld (Opw)
821,U verdient de eer/Kom en zing een vreugdelied
822,Mijn anker/Hoe diep de zee ook is
823,Hij laat ons niet vallen/Op God is onze hoop
824,Morgen dans je weer/Prijs Hem, in je dag vol zorgen
825,Reckless Love/Before I spoke a word
826,De Heer is mijn Bevrijder/God keek genadig naar mij om
827,Zie onze God/Wie omvat de zeeën met zijn hand
828,Waardig is uw naam/Lam van God, U die alle zonden
829,Wij zoeken U/O Heer, verlos ons van het kwaad
830,Vragen/Hoe we ook zwerven, zoekend en vragend
831,Hemelhoog/U gaat uw eigen wegen
832,Jezus Overwinnaar/Waar U verschijnt, wordt alles nieuw
833,Kom, verras ons/U ontmoet ons, soms zo onverwachts
834,Door Gebed/Door gebed wordt duisternis verlicht
835,Blijf voor Hem zingen/Zing voor Hem, hemellichten
836,Door en door goed/Geen pen kan ooit beschrijven
837,Toon ons uw glorie/U roept ons, wij komen
838,Proef en zie/Ik zoek de Heer
839,Aanbid Hem/Hij die was voor licht werd verspreid
840,Heer, ik wacht op U/Vanuit de diepte roep ik U
841,U mijn Heer/In U is alles vervuld
842,Moedig kom ik voor uw troon/Waar engelen vol eerbied staan
843,Vaste hoop/Diep was de kloof die mij van U scheidde
844,Zegen/De God van Abraham, Isaak en Jakob
845,De zegen/De Heer zegent en beschermt jou
846,Abba/U bent een Vader die zingt en juicht over ons
847,Onze schuilplaats is God/Er is hoop die groter dan de dood is
848,Alzo lief/Kom als je moe bent
849,Goedheid van God/Ik hou van U. Uw genade blijft me dragen
850,Het komt door ZIJN naam/Ons getuigenis is rijk
851,Prijs de Koning/Heer, wij dwaalden in het donker
852,Zie het Lam van God
853,Zing zijn lied opnieuw/Zijn genade een wonder, zijn glorie zo groot
854,In de stilte/Hier in de stilte zoek ik U
855,U geeft rust/De aarde kent uw grote kracht
856,Het bloed van Jezus spreekt voor mij
857,Hoop in leven en in dood/Wie troost in leven en in dood
858,De strijd behoort U toe / Als ik alleen maar strijd zie
859,Een nieuwe naam / Verloren en beschaamd
860,Toon mij uw glorie / Hier ben ik, hier bij U
861,Uw grote trouw / U bent waar wij zijn
862,Vrijheid / Stap uit de schaduw
863,Verhoog zijn naam / Alles wat leeft, bestaat door Hem
864,Alle glorie / Er is maar een god die zijn troon verliet
865,Hier zijn / Alles kan wachten, Heer
866,Egypte / Dit blijft ons bij
867,De naam van Jezus / In geloof spreek ik de naam van Jezus
868,Hoop en redding / Hoor ons bidden, hoogste Koning
869,Huis van gebed / Maak dit huis tot een huis van gebed
870,Diep geraakt / Wij zien grote daden van Jezus
871,Heer, U riep ons uit de duisternis / Laat de volken zingen
872,Liefde daalde neer / Wonderlijke kracht
873,Wie anders laat zelfs stenen zingen / Duizend halleluja's
874,God van Abraham /Uw trouw
875,Heer, ik liep vast / Dank U Jezus voor uw kostbaar bloed
876,Duizend generaties knielen in aanbidding / Voor altijd heilig
877,Ik roep tot U, de God van Jakob /U bent dezelfde
878,Adonai, Elohim, de Ik Ben, U bent hier/ Voor eeuwig Jahweh
879,U verwelkomt ons / Hart vol lof
880,Heer, ik roep vanuit het dal
881,Kom en aanbid onze Heer / Machtige daden
882,Ik wil U kennen, persoonlijk kennen / Kennen
883,Het leven kan soms kwetsbaar en onzeker zijn / Wij zien Jezus
